size;time;type;grid_size;block_size
2048;18.377695;optimised_shared;1;2048
2048;14.840320;optimised_shared;1;2048
2048;13.592512;optimised_shared;2;2048
2048;17.990463;optimised_shared;2;2048
2048;12.637760;optimised_shared;4;2048
2048;11.747424;optimised_shared;4;2048
2048;17.006496;optimised_shared;0;2048
2048;16.983328;optimised_shared;0;2048
2048;17.569696;optimised_shared;0;2048
2048;16.436224;optimised_shared;0;2048
4096;53.602142;optimised_shared;512;8
4096;51.994049;optimised_shared;512;8
4096;0.000000;optimised_shared;1024;8
4096;0.000000;optimised_shared;1024;8
4096;0.000000;optimised_shared;2048;8
4096;0.000000;optimised_shared;2048;8
4096;54.380993;optimised_shared;256;8
4096;64.994850;optimised_shared;256;8
4096;77.541405;optimised_shared;128;8
4096;72.534882;optimised_shared;128;8
4096;48.420128;optimised_shared;256;16
4096;69.586723;optimised_shared;256;16
4096;0.000000;optimised_shared;512;16
4096;0.000000;optimised_shared;512;16
4096;0.000000;optimised_shared;1024;16
4096;0.000000;optimised_shared;1024;16
4096;68.478973;optimised_shared;128;16
4096;53.104065;optimised_shared;128;16
4096;65.025375;optimised_shared;64;16
4096;44.825474;optimised_shared;64;16
4096;47.139423;optimised_shared;128;32
4096;56.285633;optimised_shared;128;32
4096;0.000000;optimised_shared;256;32
4096;0.000000;optimised_shared;256;32
4096;0.000000;optimised_shared;512;32
4096;0.000000;optimised_shared;512;32
4096;64.650177;optimised_shared;64;32
4096;50.255905;optimised_shared;64;32
4096;51.092319;optimised_shared;32;32
4096;57.360897;optimised_shared;32;32
4096;42.859680;optimised_shared;64;64
4096;43.700066;optimised_shared;64;64
4096;64.161667;optimised_shared;128;64
4096;53.592640;optimised_shared;128;64
4096;43.468895;optimised_shared;256;64
4096;47.092800;optimised_shared;256;64
4096;46.751808;optimised_shared;32;64
4096;51.912895;optimised_shared;32;64
4096;75.702080;optimised_shared;16;64
4096;61.885311;optimised_shared;16;64
4096;55.319649;optimised_shared;32;128
4096;64.705025;optimised_shared;32;128
4096;52.109856;optimised_shared;64;128
4096;46.562561;optimised_shared;64;128
4096;46.701889;optimised_shared;128;128
4096;50.851906;optimised_shared;128;128
4096;63.716866;optimised_shared;16;128
4096;63.621922;optimised_shared;16;128
4096;67.309021;optimised_shared;8;128
4096;47.859360;optimised_shared;8;128
4096;48.235489;optimised_shared;16;256
4096;62.792320;optimised_shared;16;256
4096;70.157860;optimised_shared;32;256
4096;47.591518;optimised_shared;32;256
4096;69.090210;optimised_shared;64;256
4096;50.625088;optimised_shared;64;256
4096;61.736256;optimised_shared;8;256
4096;61.101536;optimised_shared;8;256
4096;45.392735;optimised_shared;4;256
4096;62.026016;optimised_shared;4;256
4096;55.619648;optimised_shared;8;512
4096;64.192192;optimised_shared;8;512
4096;54.464031;optimised_shared;16;512
4096;52.073471;optimised_shared;16;512
4096;60.508480;optimised_shared;32;512
4096;60.269791;optimised_shared;32;512
4096;55.426464;optimised_shared;4;512
4096;48.987328;optimised_shared;4;512
4096;61.306911;optimised_shared;2;512
4096;62.025311;optimised_shared;2;512
4096;50.289761;optimised_shared;4;1024
4096;76.258369;optimised_shared;4;1024
4096;63.389568;optimised_shared;8;1024
4096;44.585442;optimised_shared;8;1024
4096;58.790783;optimised_shared;16;1024
4096;68.194977;optimised_shared;16;1024
4096;58.003616;optimised_shared;2;1024
4096;61.386879;optimised_shared;2;1024
4096;54.281055;optimised_shared;1;1024
4096;51.449310;optimised_shared;1;1024
4096;61.212734;optimised_shared;2;2048
4096;59.888897;optimised_shared;2;2048
4096;63.886593;optimised_shared;4;2048
4096;46.139614;optimised_shared;4;2048
4096;67.429085;optimised_shared;8;2048
4096;65.387550;optimised_shared;8;2048
4096;78.198463;optimised_shared;1;2048
4096;62.669216;optimised_shared;1;2048
4096;49.651169;optimised_shared;0;2048
4096;45.714401;optimised_shared;0;2048
8192;312.824585;optimised_shared;1024;8
8192;320.271240;optimised_shared;1024;8
