threads, array_size, random_gen, put_to_buckets, sort_buckets, bucket_offsets, write_to_array, all
8, 1000, 0.000284, 0.000101, 0.000055, 0.000234, 0.000089, 0.000763
8, 10000, 0.000103, 0.000388, 0.000087, 0.000153, 0.000123, 0.000854
8, 100000, 0.000214, 0.001941, 0.000543, 0.000200, 0.000159, 0.003057
8, 1000000, 0.001197, 0.016554, 0.000760, 0.000525, 0.000532, 0.019568
8, 10000000, 0.011148, 0.182555, 0.015011, 0.011787, 0.010585, 0.231086
8, 100000000, 0.110834, 1.849167, 0.046743, 0.034724, 0.034930, 2.076398
8, 1000000000, 1.358074, 21.257215, 0.573906, 0.485363, 0.373365, 24.047923
9, 1000, 0.000269, 0.000097, 0.000062, 0.000234, 0.000107, 0.000770
9, 10000, 0.000077, 0.000406, 0.000087, 0.000182, 0.000059, 0.000811
9, 100000, 0.000255, 0.002220, 0.000494, 0.000222, 0.000189, 0.003381
9, 1000000, 0.001947, 0.018340, 0.001059, 0.002350, 0.000869, 0.024565
9, 10000000, 0.019024, 0.210345, 0.006321, 0.006377, 0.007022, 0.249089
9, 100000000, 0.117662, 2.262170, 0.050291, 0.050835, 0.036957, 2.517916
9, 1000000000, 1.240013, 27.781621, 0.518848, 0.476846, 0.401829, 30.419158
10,1000, 0.000226, 0.000089, 0.000110, 0.000244, 0.000110, 0.000779
10,10000, 0.000140, 0.000339, 0.000134, 0.000169, 0.000086, 0.000868
10,100000, 0.000249, 0.002322, 0.000477, 0.000207, 0.000134, 0.003389
10,1000000, 0.001239, 0.019128, 0.001123, 0.000722, 0.000821, 0.023034
10,10000000, 0.012368, 0.190658, 0.005705, 0.007039, 0.004869, 0.220639
10,100000000, 0.123507, 2.207863, 0.044419, 0.046272, 0.037005, 2.459066
10,1000000000, 1.103230, 27.132335, 0.498988, 0.522101, 0.466989, 29.723644
1, 1000, 0.000012, 0.000011, 0.000017, 0.000002, 0.000004, 0.000046
1, 10000, 0.000083, 0.000104, 0.000167, 0.000007, 0.000031, 0.000393
1, 100000, 0.000821, 0.001219, 0.001543, 0.000078, 0.000307, 0.003968
1, 1000000, 0.008408, 0.018259, 0.003088, 0.000729, 0.002890, 0.033374
1, 10000000, 0.083008, 0.254561, 0.037515, 0.007765, 0.032054, 0.414903
1, 100000000, 0.825962, 2.849576, 0.275277, 0.074998, 0.250856, 4.276670
1, 1000000000, 8.398303, 34.985960, 2.979798, 0.854989, 2.659853, 49.878903
2, 1000, 0.000251, 0.000028, 0.000027, 0.000013, 0.000007, 0.000327
2, 10000, 0.000081, 0.000147, 0.000117, 0.000021, 0.000038, 0.000404
2, 100000, 0.000459, 0.000962, 0.000844, 0.000113, 0.000195, 0.002573
2, 1000000, 0.004287, 0.009497, 0.001648, 0.002332, 0.001603, 0.019367
2, 10000000, 0.042522, 0.135416, 0.017093, 0.007161, 0.015659, 0.217852
2, 100000000, 0.425018, 1.790712, 0.143687, 0.053732, 0.128317, 2.541467
2, 1000000000, 4.402630, 20.133792, 1.531505, 0.606454, 1.343483, 28.017866
3, 1000, 0.000163, 0.000023, 0.000024, 0.000021, 0.000010, 0.000241
3, 10000, 0.000075, 0.000148, 0.000128, 0.000029, 0.000047, 0.000427
3, 100000, 0.000338, 0.001261, 0.000636, 0.000104, 0.000152, 0.002491
3, 1000000, 0.002952, 0.014265, 0.001170, 0.000565, 0.001214, 0.020167
3, 10000000, 0.028755, 0.145480, 0.011667, 0.004602, 0.010926, 0.201430
3, 100000000, 0.288312, 1.721860, 0.098369, 0.043042, 0.087133, 2.238716
3, 1000000000, 2.985564, 63.439386, 1.120292, 0.526563, 0.900093, 68.971899
4, 1000, 0.000257, 0.000052, 0.000058, 0.000163, 0.000091, 0.000621
4, 10000, 0.000070, 0.000398, 0.000103, 0.000113, 0.000067, 0.000751
4, 100000, 0.000263, 0.002662, 0.000512, 0.000170, 0.000191, 0.003798
4, 1000000, 0.002250, 0.028443, 0.001116, 0.002271, 0.000946, 0.035027
4, 10000000, 0.021911, 0.264298, 0.008662, 0.004278, 0.008078, 0.307227
4, 100000000, 0.218011, 1.684844, 0.073959, 0.039905, 0.065047, 2.081766
4, 1000000000, 2.243545, 35.496397, 0.847525, 0.501778, 0.745549, 39.834796
5, 1000, 0.000261, 0.000074, 0.000056, 0.000117, 0.000047, 0.000555
5, 10000, 0.000095, 0.000286, 0.000107, 0.000138, 0.000062, 0.000690
5, 100000, 0.000244, 0.002313, 0.000465, 0.000127, 0.000108, 0.003257
5, 1000000, 0.002063, 0.021010, 0.001003, 0.000499, 0.000802, 0.025377
5, 10000000, 0.018093, 0.221094, 0.007342, 0.005903, 0.006540, 0.258973
5, 100000000, 0.175586, 2.302907, 0.060700, 0.036897, 0.055793, 2.631886
5, 1000000000, 1.945094, 40.713908, 0.736645, 0.478397, 0.616209, 44.490254
6, 1000, 0.000249, 0.000097, 0.000099, 0.000134, 0.000113, 0.000693
6, 10000, 0.000075, 0.000263, 0.000084, 0.000162, 0.000074, 0.000658
6, 100000, 0.000219, 0.002365, 0.000473, 0.000192, 0.000131, 0.003380
6, 1000000, 0.001546, 0.022807, 0.000865, 0.002310, 0.000671, 0.028199
6, 10000000, 0.014789, 0.278536, 0.006440, 0.003950, 0.005647, 0.309364
6, 100000000, 0.147076, 3.106809, 0.050837, 0.039108, 0.045358, 3.389189
6, 1000000000, 1.666898, 34.073583, 0.622233, 0.461016, 0.503814, 37.327546
7, 1000, 0.000292, 0.000112, 0.000045, 0.000107, 0.000066, 0.000622
7, 10000, 0.000089, 0.000361, 0.000078, 0.000201, 0.000103, 0.000832
7, 100000, 0.000204, 0.002265, 0.000423, 0.000179, 0.000142, 0.003213
7, 1000000, 0.001359, 0.020150, 0.000788, 0.001569, 0.000611, 0.024478
7, 10000000, 0.013044, 0.229731, 0.005317, 0.004033, 0.004894, 0.257019
7, 100000000, 0.128583, 2.415496, 0.044985, 0.037362, 0.042418, 2.668858
7, 1000000000, 1.476703, 26.903337, 0.588394, 0.473703, 0.461198, 29.903335
8, 1000, 0.000249, 0.000089, 0.000112, 0.000226, 0.000045, 0.000721
8, 10000, 0.000095, 0.000309, 0.000086, 0.000138, 0.000125, 0.000753
8, 100000, 0.000192, 0.001826, 0.000553, 0.000167, 0.000167, 0.002906
8, 1000000, 0.001226, 0.017106, 0.000855, 0.002177, 0.000858, 0.022222
8, 10000000, 0.011119, 0.182308, 0.004654, 0.005304, 0.004235, 0.207620
8, 100000000, 0.112601, 2.105787, 0.041500, 0.035610, 0.038157, 2.333655
8, 1000000000, 1.294812, 25.593357, 0.564609, 0.450852, 0.489681, 28.393311
9, 1000, 0.000276, 0.000110, 0.000120, 0.000187, 0.000085, 0.000779
9, 10000, 0.000102, 0.000375, 0.000088, 0.000172, 0.000096, 0.000833
9, 100000, 0.000251, 0.002171, 0.000426, 0.000208, 0.000184, 0.003240
9, 1000000, 0.001958, 0.018142, 0.001058, 0.000741, 0.000716, 0.022615
9, 10000000, 0.016235, 0.186850, 0.007960, 0.005713, 0.006114, 0.222872
9, 100000000, 0.118939, 2.162357, 0.041405, 0.043605, 0.035947, 2.402253
9, 1000000000, 1.188529, 26.351219, 0.518778, 0.480368, 0.454822, 28.993716
10,1000, 0.000283, 0.000112, 0.000111, 0.000165, 0.000122, 0.000793
10,10000, 0.000111, 0.000294, 0.000109, 0.000244, 0.000098, 0.000856
10,100000, 0.000229, 0.002348, 0.000480, 0.000189, 0.000126, 0.003372
10,1000000, 0.001842, 0.017772, 0.000899, 0.000736, 0.000879, 0.022130
10,10000000, 0.016897, 0.209058, 0.007193, 0.005982, 0.006395, 0.245539
10,100000000, 0.125763, 2.157252, 0.047673, 0.044019, 0.037470, 2.412177
10,1000000000, 1.107520, 21.033080, 0.438358, 0.508589, 0.487573, 23.575120
