threads,array_size,random_gen,put_to_buckets,sort_buckets,bucket_offsets,write_to_array,all
7,10000,0.000064,0.000372,0.000079,0.000188,0.000113,0.000817
7,100000,0.000225,0.002176,0.000383,0.000144,0.000102,0.003030
7,1000000,0.001337,0.021266,0.001311,0.000713,0.000614,0.025242
7,10000000,0.012836,0.239847,0.005228,0.003847,0.004756,0.266514
7,100000000,0.128840,2.555268,0.046074,0.036583,0.039945,2.806710
7,1000000000,1.527931,23.980416,0.963860,0.417474,0.945642,27.835323
8,1000,0.000266,0.000103,0.000131,0.000151,0.000106,0.000757
8,10000,0.000094,0.000321,0.000145,0.000174,0.000130,0.000864
8,100000,0.000200,0.001906,0.000300,0.000240,0.000127,0.002773
8,1000000,0.001222,0.016430,0.000863,0.001917,0.000525,0.020958
8,10000000,0.012470,0.185992,0.004495,0.003662,0.004244,0.210863
8,100000000,0.114828,1.793905,0.059201,0.042234,0.039056,2.049224
8,1000000000,1.439101,19.820413,0.762487,0.500895,0.438463,22.961359
9,1000,0.000187,0.000113,0.000072,0.000137,0.000076,0.000586
9,10000,0.000118,0.000344,0.000107,0.000131,0.000086,0.000786
9,100000,0.000216,0.001957,0.000445,0.000213,0.000166,0.002998
9,1000000,0.001509,0.018254,0.001122,0.002216,0.000866,0.023967
9,10000000,0.016869,0.197403,0.007110,0.005410,0.005877,0.232669
9,100000000,0.140379,1.856877,0.043253,0.050756,0.037557,2.128823
9,1000000000,1.707715,20.535213,0.624300,0.482356,0.411309,23.760893
10,1000,0.000273,0.000116,0.000103,0.000203,0.000112,0.000808
10,10000,0.000084,0.000326,0.000129,0.000200,0.000118,0.000857
10,100000,0.000248,0.002048,0.000427,0.000179,0.000192,0.003095
10,1000000,0.001376,0.017969,0.001159,0.000767,0.000755,0.022027
10,10000000,0.013157,0.182204,0.005687,0.006423,0.006255,0.213726
10,100000000,0.135944,1.900538,0.047569,0.048165,0.043241,2.175457
10,1000000000,1.272709,22.833629,0.575971,0.496670,0.399138,25.578118
1,1000,0.000016,0.000018,0.000018,0.000002,0.000003,0.000057
1,10000,0.000084,0.000109,0.000203,0.000008,0.000033,0.000437
1,100000,0.000875,0.001999,0.001573,0.000075,0.000315,0.004837
1,1000000,0.008448,0.041529,0.004038,0.002225,0.003338,0.059579
1,10000000,0.084587,0.383836,0.035551,0.009121,0.031319,0.544414
1,100000000,0.834188,3.326424,0.282794,0.076278,0.250307,4.769992
1,1000000000,8.586133,39.570429,2.995586,0.852365,2.581133,54.585647
2,1000,0.000263,0.000073,0.000027,0.000016,0.000009,0.000388
2,10000,0.000083,0.000143,0.000121,0.000021,0.000025,0.000393
2,100000,0.000452,0.000975,0.000847,0.000083,0.000201,0.002558
2,1000000,0.004276,0.009493,0.001662,0.002327,0.001605,0.019363
2,10000000,0.042540,0.158728,0.017730,0.006920,0.015644,0.241562
2,100000000,0.426493,1.912952,0.144268,0.054293,0.130659,2.668665
2,1000000000,4.445841,20.819140,1.586544,0.612231,1.328251,28.792009
3,1000,0.000201,0.000020,0.000021,0.000023,0.000010,0.000275
3,10000,0.000069,0.000148,0.000091,0.000028,0.000030,0.000366
3,100000,0.000338,0.000827,0.000617,0.000119,0.000161,0.002064
3,1000000,0.002973,0.010959,0.001192,0.002325,0.001139,0.018588
3,10000000,0.029099,0.226950,0.011712,0.006413,0.010731,0.284906
3,100000000,0.289597,1.733581,0.097756,0.044944,0.089314,2.255195
3,1000000000,3.037279,14.775461,1.096538,0.521391,0.919808,20.350477
4,1000,0.000321,0.000066,0.000048,0.000110,0.000053,0.000598
4,10000,0.000091,0.000336,0.000116,0.000174,0.000067,0.000786
4,100000,0.000266,0.002829,0.000524,0.000178,0.000187,0.003984
4,1000000,0.002251,0.028197,0.001219,0.000519,0.000902,0.033089
4,10000000,0.022025,0.250743,0.008186,0.006130,0.007656,0.294741
4,100000000,0.218639,1.441653,0.073743,0.041989,0.066182,1.842206
4,1000000000,2.321181,18.975237,1.024112,0.510648,0.728649,23.559827
5,1000,0.000234,0.000095,0.000047,0.000103,0.000037,0.000516
5,10000,0.000074,0.000298,0.000095,0.000090,0.000047,0.000604
5,100000,0.000247,0.002501,0.000459,0.000132,0.000178,0.003517
5,1000000,0.001846,0.022912,0.001037,0.001541,0.000750,0.028086
5,10000000,0.017641,0.227812,0.007217,0.003933,0.006739,0.263343
5,100000000,0.177200,2.539123,0.060327,0.038040,0.054562,2.869252
5,1000000000,2.003472,29.285102,0.839023,0.482845,0.575897,33.186339
6,1000,0.000230,0.000100,0.000067,0.000154,0.000042,0.000593
6,10000,0.000076,0.000416,0.000083,0.000157,0.000082,0.000814
6,100000,0.000222,0.002464,0.000375,0.000195,0.000175,0.003433
6,1000000,0.001563,0.023155,0.000878,0.000521,0.000674,0.026791
6,10000000,0.014870,0.233185,0.006009,0.005502,0.005448,0.265017
6,100000000,0.149128,2.304111,0.051624,0.040044,0.045767,2.590674
6,1000000000,1.698935,25.428786,0.687093,0.439490,0.470961,28.725267
7,1000,0.000250,0.000105,0.000088,0.000155,0.000087,0.000685
7,10000,0.000097,0.000365,0.000106,0.000134,0.000072,0.000775
7,100000,0.000220,0.002193,0.000415,0.000222,0.000190,0.003240
7,1000000,0.001351,0.019968,0.001318,0.002185,0.000643,0.025466
7,10000000,0.012851,0.241088,0.006640,0.003720,0.004624,0.268926
7,100000000,0.127949,2.648885,0.052078,0.035971,0.042313,2.907196
7,1000000000,1.505781,22.911958,0.637026,0.463035,0.428166,25.945969
8,1000,0.000211,0.000130,0.000055,0.000158,0.000066,0.000620
8,10000,0.000088,0.000377,0.000118,0.000143,0.000080,0.000806
8,100000,0.000189,0.001926,0.000426,0.000230,0.000126,0.002897
8,1000000,0.001211,0.017563,0.001206,0.000589,0.000623,0.021192
8,10000000,0.011831,0.193919,0.004256,0.005171,0.003932,0.219109
8,100000000,0.121251,1.858235,0.047112,0.040805,0.041531,2.108934
8,1000000000,1.354587,22.814188,0.509518,0.440977,0.470687,25.589958
9,1000,0.000282,0.000118,0.000079,0.000144,0.000092,0.000715
9,10000,0.000098,0.000306,0.000147,0.000115,0.000125,0.000791
9,100000,0.000238,0.002292,0.000427,0.000260,0.000158,0.003376
9,1000000,0.001971,0.019743,0.001089,0.000724,0.000944,0.024471
9,10000000,0.012531,0.186202,0.006356,0.006956,0.005986,0.218031
9,100000000,0.112596,2.312046,0.045947,0.047976,0.039675,2.558240
9,1000000000,1.191955,24.338900,0.539419,0.513235,0.462117,27.045628
10,1000,0.000251,0.000098,0.000089,0.000124,0.000125,0.000688
10,10000,0.000114,0.000351,0.000127,0.000159,0.000071,0.000823
10,100000,0.000228,0.002349,0.000432,0.000195,0.000110,0.003315
10,1000000,0.001411,0.020822,0.001007,0.000734,0.000819,0.024793
10,10000000,0.017276,0.198993,0.006983,0.005878,0.006908,0.236039
10,100000000,0.117539,1.906142,0.046092,0.045461,0.036509,2.151744
10,1000000000,1.194993,21.542768,0.442325,0.478181,0.401014,24.059282
1,1000,0.000011,0.000012,0.000018,0.000004,0.000003,0.000048
1,10000,0.000083,0.000104,0.000167,0.000007,0.000031,0.000392
1,100000,0.000899,0.002052,0.001566,0.000073,0.000308,0.004898
1,1000000,0.008426,0.032887,0.003513,0.001413,0.003404,0.049643
1,10000000,0.084185,0.262548,0.032125,0.007575,0.029794,0.416227
1,100000000,0.853591,3.765981,0.283793,0.076994,0.255231,5.235590
1,1000000000,8.480552,34.931382,2.898144,0.853314,2.628541,49.791935
2,1000,0.000302,0.000036,0.000044,0.000017,0.000009,0.000408
2,10000,0.000107,0.000326,0.000130,0.000024,0.000034,0.000621
2,100000,0.000497,0.001000,0.000971,0.000091,0.000190,0.002749
2,1000000,0.004457,0.010964,0.001942,0.000638,0.001819,0.019820
2,10000000,0.043140,0.157000,0.017971,0.006961,0.015670,0.240742
2,100000000,0.435530,1.632295,0.145265,0.051568,0.131793,2.396451
2,1000000000,4.493561,20.009972,1.565243,0.659650,1.359455,28.087882
3,1000,0.000060,0.000034,0.000024,0.000022,0.000009,0.000149
3,10000,0.000065,0.000144,0.000143,0.000028,0.000029,0.000409
3,100000,0.000336,0.000805,0.000632,0.000103,0.000184,0.002061
3,1000000,0.002969,0.007132,0.001163,0.002139,0.001138,0.014541
3,10000000,0.029239,0.092556,0.010909,0.004650,0.010211,0.147565
3,100000000,0.292653,1.239400,0.099496,0.046841,0.089051,1.767441
3,1000000000,3.029300,18.280636,1.135817,0.531236,0.945174,23.922163
4,1000,0.000222,0.000089,0.000053,0.000092,0.000034,0.000490
4,10000,0.000075,0.000413,0.000136,0.000131,0.000090,0.000845
4,100000,0.000267,0.002444,0.000510,0.000163,0.000172,0.003557
4,1000000,0.002264,0.026557,0.001262,0.000431,0.000907,0.031425
4,10000000,0.021872,0.253659,0.008258,0.005829,0.007361,0.296979
4,100000000,0.218908,1.219371,0.075035,0.040680,0.064567,1.618562
4,1000000000,2.241900,38.841518,0.914274,0.488485,0.746691,43.232868
5,1000,0.000176,0.000053,0.000038,0.000050,0.000026,0.000343
5,10000,0.000087,0.000283,0.000087,0.000067,0.000029,0.000553
5,100000,0.000237,0.002270,0.000399,0.000119,0.000119,0.003144
5,1000000,0.001844,0.019120,0.000987,0.000491,0.000810,0.023252
5,10000000,0.017652,0.174808,0.007004,0.003841,0.006139,0.209445
5,100000000,0.176098,2.029022,0.060462,0.039807,0.054148,2.359537
5,1000000000,1.947511,35.634574,0.707794,0.457278,0.583263,39.330421
